grade,topic,title,checked_by,kind,ccss,does,notes,worksheet_link,answer_key_link
K,Math - Addition,Kindergarten Math - Addition - 07 Adding One Set,looked at pages,practice,K.OA.A.2,"Adding One: 'Count the pictures, and complete the addition sentences.' 5 problems, each a group of an object (beach balls, umbrellas, candles, light bulbs, microphones) plus exactly 1 more of the same object, with the equation n + 1 = __ printed below; student counts and fills in the sum.",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1-YiMJFgQ_2XxpozkHHTn0T2oNx33X3uz/view,https://drive.google.com/file/d/1hEo-wFp5TvfXXrCWmZBLrOsW1Ezl1i0k/view
K,Math - Addition,Kindergarten Math - Addition - 08 Adding One Set,looked at pages,practice,"K.OA.A.1, K.OA.A.2","Adding One: 'Count the pictures, and write the addition sentences.' 5 problems, each a group of an object (balloons, bowling pins, seahorses, binder clips, erasers) plus exactly 1 more of the same object; student writes the full equation __ + __ = __ (both addends and sum blank).",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1pBraVwRPid1a9YSuzAZtWFT7iW_3euhC/view,https://drive.google.com/file/d/1SQNhUBmgqsKL5bAFbZgBdGOFA_6VCSB0/view
K,Math - Addition,Kindergarten Math - Addition - 09 Adding One Set,looked at pages,practice,"K.OA.A.2, K.OA.A.5","Adding One: 'Add the numbers and write the sum.' Worked example (2+1=3 with pie clip-art), then 8 plain numeral +1 facts (5+1, 1+1, 9+1, 7+1, 3+1, 4+1, 6+1, 8+1); student writes each sum in a blank box.",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1KR1EYrdE8KUblBbGI9rVRnOf6Yzsz4DU/view,https://drive.google.com/file/d/1bSUdU5Xl5ZqhatFx37PVbsEocI89CmbW/view
K,Math - Addition,Kindergarten Math - Addition - 10 Adding One Set,looked at pages,practice,"K.OA.A.2, K.OA.A.5","Adding One: 'Circle the sum.' 6 boxes, each showing a +1 addition fact (e.g. 5+1, 7+1, 3+1, 8+1, 6+1, 2+1) with 4 numeral answer choices below; student circles the correct sum from the 4 options.",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1ALe9dnFVUbZMEAiIJ4LvOuc7z_vCFU45/view,https://drive.google.com/file/d/1IiDvvAipF-N-GwaFzHyTp7KkUuhksJh1/view
K,Math - Addition,Kindergarten Math - Addition - 11 Adding One Set,looked at pages,matching,"K.OA.A.2, K.OA.A.5","Adding One, S1 series: 'Match the addends with the correct sums.' 5 caterpillar clip-art images each labeled with a +1 addition fact (e.g. 2+1, 5+1, 4+1, 3+1, 9+1); student draws a line matching each caterpillar to the apple showing the correct sum (facts and sums randomized/mismatched positions).",Viewed the single page (1 of 1); mathworksheets4kids.com template.,https://drive.google.com/file/d/1w7Sd4qDAPVLBNGitlafhjElRl7PWqd3-/view,https://drive.google.com/file/d/1yau_sw_P7QCo4kfCC4a_ZcX9ZmriqBX4/view
K,Math - Addition,Kindergarten Math - Addition - 12 Adding One Set,looked at pages,word problems,K.OA.A.2,"Adding One: 5 short story word problems (US names: Bob, Sadie, Dean, Tom/Joe, Ivy) each about adding exactly 1 more item to a starting quantity (crayons, muffins, marbles, toy trains, sandwiches); student reads, solves, and writes the answer on a blank line. All facts are 'n + 1'.",Viewed the single page (1 of 1); mathworksheets4kids.com template; US-named characters.,https://drive.google.com/file/d/1B-o1skop19DnAX7xPSevMooOc0I9ZeFD/view,https://drive.google.com/file/d/15W9tWzvxBJ6-m3kyqTWZXU68Ax5Q7c8d/view
K,Math - Addition,Kindergarten Math - Addition - 13 Addition with Two Dice,looked at pages,practice,K.OA.A.2,"Dice Addition, header '2 Dice: S1'. 12 problems per page, each showing two dice images (1-6 dots each) with '+' and '=' and a blank box; student counts dots on each die and writes the sum.",Viewed page 1 of 3; mathworksheets4kids.com template; two-dice addition sums up to 12.,https://drive.google.com/file/d/1PdsOCkcTS1K7RnC9xM2Le5eb-1OreMNa/view,https://drive.google.com/file/d/1MJpjSYpHkpZGf27ZBzZ8aP2zJOUQElpM/view
K,Math - Addition,Kindergarten Math - Addition - 14 Teacher Templates,read text,reference chart,,"Blank teacher templates (not pre-filled problems): a two-dice addition template, a three-dice addition template, and a domino-addition template, each with numbered blank '__ + __ = __' slots for teachers to create their own dice/domino addition problems.","This is a blank teacher template for making dice/domino addition worksheets, not a completed problem set.",https://drive.google.com/file/d/1IW927ujUBV-H1eNnAXcMJGFmtLT5w3DO/view,
K,Math - Addition,Kindergarten Math - Addition - 15 Love bugs Addition,looked at pages,activity/colouring,K.OA.A.2,"Valentine's Day Addition ('Love bugs Addition'): 8 pairs of cartoon 'love bug' characters, each half of the pair covered in small heart icons; student counts hearts on each half and writes the sum in the heart-shaped box between them.","Viewed the single page (1 of 1); mathworksheets4kids.com Valentine's Day themed template; theme is a widely-recognized holiday, not US-exclusive.",https://drive.google.com/file/d/1-lrVtw8I6-OlkCJ2U1JUoA9h49gnA8DR/view,https://drive.google.com/file/d/1WoUigs0KmeOklTSP34r83jN2trnATTHd/view
K,Math - Addition,Kindergarten Math - Addition - 16 Matching Equivalent Sums,read text,practice,1.OA.D.7,"Students match an addition sentence in the left column to the equivalent-sum addition sentence in the right column (5 pairs per sheet), single-digit to low-double-digit sums.",Matching equivalent sums is closer to Grade 1 (1.OA.D.7) though filed under Kindergarten.,https://drive.google.com/file/d/1Ns6TP1j6_ieBmevVNeY-8l-u89Y612cN/view,https://drive.google.com/file/d/18siYmN69pG-7H0NRwm1F9P4FnnZN9Qyi/view
K,Math - Addition,Kindergarten Math - Addition - 17 Color and Add,read text,activity/colouring,K.OA.A.1,"Students color a specified number of shapes one color and the rest another color, then complete an addition sentence (color1 + color2 = total shapes), sums up to 5.",,https://drive.google.com/file/d/12hhFB3PJ5vCzurQOfX3CnfdKhIPOQVXk/view,https://drive.google.com/file/d/1H1bkwWjrohop30WEJ9YGbYd9zPlMltdm/view
K,Math - Addition,Kindergarten Math - Addition - 18 Count and Add the Pictures,looked at pages,practice,"K.OA.A.2, K.CC.B.5","Count & Add, header 'Sums up to 20: S1'. 5 problems per page, each with two clip-art groups of the same object (candles, saxophones, TVs, pears, cherries) and a blank box; student counts and adds both groups and writes the total.",Viewed page 1 of 3; mathworksheets4kids.com template; sums up to 20.,https://drive.google.com/file/d/1ALi97-rhkXdAawv7PWx7X89W-hEwE0TW/view,https://drive.google.com/file/d/1zo3O90Eok9P6Dn60RITTzsmXovgVRh3K/view
K,Math - Addition,Kindergarten Math - Addition - 19 Addition with Three Dice,looked at pages,practice,K.OA.A.2,"Dice Addition, header '3 Dice: S1'. 12 problems per page, each showing three dice images side by side (1-6 dots each) with '+' and '=' and a blank box; student counts dots on each die and writes the sum of three addends.",Viewed page 1 of 3; mathworksheets4kids.com template; three-addend dice sums.,https://drive.google.com/file/d/11mDLSXR7jKkKdiZev0F9LLZEdCwwUJek/view,https://drive.google.com/file/d/1pX90E_LHYZA7s-59MZr87nw2Zpd0mjyB/view
K,Math - Addition,Kindergarten Math - Addition - 20 Domino Addition,looked at pages,practice,"K.OA.A.2, K.CC.B.5","""Domino Addition"": 10 domino images per page, each split into two halves with dot counts (0-6 dots per half); student counts dots on each half, writes the two addends and the sum in a blank equation __ + __ = __.",Viewed page 1 of 3; mathworksheets4kids.com template.,https://drive.google.com/file/d/1mNr4GXXG_fNUDLjGzKGh2DKJG_IUIvRY/view,https://drive.google.com/file/d/17JpH4i_CbTlSuiUYiNOFAPJUHdvaQS8Y/view
K,Math - Addition,Kindergarten Math - Addition - 21 Adding Three Whole Numbers,read text,practice,1.OA.C.6,"Students use a 0-20 number line, marking hops for each addend, to solve addition problems with three whole-number addends (6 problems per sheet, 5 sheets).",Adding three addends is closer to a Grade 1 skill (1.OA.C.6) though filed under Kindergarten.,https://drive.google.com/file/d/1W0gKnNjyaTcip8xZg_fYlI0cWVLaihKf/view,https://drive.google.com/file/d/1NLZDqTyaNclnKtsGRWvj5MgiuoXACHVh/view
K,Math - Addition,Kindergarten Math - Addition - 22 Complete the Addition Equation,looked at pages,practice,K.OA.A.2,"Count & Add / Complete the Addition Equation, header 'Sums up to 20: S1'. 5 problems per page, each with two clip-art groups of an object (strawberries, computer mice, cups, bells, keys) with the addend numeral printed under each group; student adds the two given numbers and writes the sum in a blank box.","Viewed page 1 of 3; mathworksheets4kids.com template; sums up to 20, addends given as numerals below pictures.",https://drive.google.com/file/d/18nm0UkVpjmoz-b_vyGLC-5mqltpYACmb/view,https://drive.google.com/file/d/1e9JOeSWntnX7hcOnbW12yBGsupSZNdR0/view
K,Math - Addition,Kindergarten Math - Addition - 23 Making Ten Using Ten Frames,looked at pages,practice,K.OA.A.4,"Ten-frame with some shapes already filled in (e.g. 3, 6, 8, 5, 1, 2 shapes shown of various types: triangles, squares, stars, circles, diamonds, hearts, X's, pentagons, ovals, kites, trapezoids); students draw more shapes to fill the ten-frame to 10 and complete the matching addition equation (e.g. '3 + ___ = 10'). 6 problems per sheet, 3 sheets, each with a different set of shapes.",Visually confirmed via rendered pages 1-2 of 3.,https://drive.google.com/file/d/1I-ky97Trw7gZ21pA89fVwLUmG04wejIB/view,https://drive.google.com/file/d/1VsbwPKdl2eHsaL8GSHrxoQwMS9BdG7o9/view
K,Math - Addition,Kindergarten Math - Addition - 24 Making Ten Ten Frames,read text,practice,K.OA.A.4,Students draw more shapes/dots onto a ten-frame-style picture to find the missing addend that brings the total to 10 (6 problems per sheet).,,https://drive.google.com/file/d/15ODLiEMMfsY5zmkkkrXdGVUJ7gKRkaiH/view,https://drive.google.com/file/d/104ZC1xjmO1yvtAvRkzhNPoN0tzApIp5u/view
K,Math - Addition,Kindergarten Math - Addition - 25 Matching Number Lines,looked at pages,matching,K.OA.A.2,"""Match the Number Lines"": two columns of 5 number lines (0-10) each showing a hopping/jump path representing an addition; student draws a line to match each left number line to the equivalent (same total jump) number line on the right.",Viewed page 1 of 3; mathworksheets4kids.com template; corrected sheets count from null to 3 (confirmed 3 pages).,https://drive.google.com/file/d/1H-kfodj3O67tvFPFM84KOv0jVxWftXbh/view,https://drive.google.com/file/d/1cEmeSKw1JsVkyr4MbM-bfKevADGzNgdU/view
K,Math - Addition,Kindergarten Math - Addition - 26 Writing Missing Addends,read text,practice,K.OA.A.4,"Vertical (column) addition problems where students find the missing addend, about 20 problems per sheet, single-digit numbers with sums up to ~18.",,https://drive.google.com/file/d/1EMD1xF1wxAQm9D-7IOSlq3demDElOiaO/view,https://drive.google.com/file/d/1aRNp2U4LHeEoMllTGt-hDeiDQiFjFE_m/view
K,Math - Addition,Kindergarten Math - Addition - 27 Addition Activity,looked at pages,activity/colouring,"K.OA.A.2, K.CC.B.5","""Addition Activity"", header 'Sums up to 20: S1'. 8 boxes per page, each with a row/rows of a shape (diamonds, circles, triangles, stars, rectangles, hexagons, hearts, kites); student colors a stated number in one color and the rest in another, counts the total shapes, then writes a part-part-whole addition sentence (e.g. __ blue + __ green = __ diamonds).",Viewed page 1 of 3; mathworksheets4kids.com template; sums up to 20.,https://drive.google.com/file/d/1COJTMLrrqSak5FzZ_5KzTfUNeUdyHs3m/view,https://drive.google.com/file/d/1zq6Q-v_JpIYJL1sycrIO7HfjWsxzs681/view
K,Math - Addition,Kindergarten Math - Addition - 28 Write the Addition Sentence,looked at pages,practice,"K.OA.A.1, K.OA.A.2","""Addition Sentence"" worksheet, header 'Sums up to 20: S1'. Two clip-art groups of objects (erasers, cups, pencils, ice cubes, peppers) shown side by side with a '+' between; student fills in blank __ + __ = __ counting each group. 5 problems per page.",Viewed page 1 of 3; mathworksheets4kids.com template; sums up to 20.,https://drive.google.com/file/d/1Jjm7cz8VSo2uesUBwGb-6MYALI2MvnQa/view,https://drive.google.com/file/d/1kgJLGAoWUKVPOkHTk1OmHQHZ4_n9yCOZ/view
K,Math - Addition,Kindergarten Math - Addition - 29 Number Line Filling in Missing Numbers,read text,practice,K.OA.A.4,"Using a 0-20 number line model, students complete addition sentences by filling in a missing addend or missing sum, 6 problems per sheet.",,https://drive.google.com/file/d/1n0Srw1SU2ZCJsv9B-uMlIHAZId_OS71K/view,https://drive.google.com/file/d/1PCcjGXearNcJv4n8lM5xz9LvxARt-5Up/view
K,Math - Addition,Kindergarten Math - Addition - 30 Writing Addition Sentences,read text,practice,K.OA.A.1,Students look at three grouped picture sets and write the addition sentence (three addends) with sums up to 5.,,https://drive.google.com/file/d/1deuwKAGMafI4T67zQbt4zG4hQ2SqS8Pb/view,https://drive.google.com/file/d/1NSD2ncyN7cq2lgtNKZhrM1PrOxxtaAix/view
K,Math - Addition,Kindergarten Math - Addition - 31 Exclusive Word Problems on Adding Numbers Sums up to 10,read text,word problems,K.OA.A.2,"Real-world addition word problems with sums up to 10 (5 problems per sheet), e.g. counting birds, students, roses, cookies, shirts, dolls, money in dollars, weight in pounds, party guests, vegetables.",,https://drive.google.com/file/d/1BAq8laraTx4fR1Fae3OFYiBDaECjNhuM/view,https://drive.google.com/file/d/1aArUwkt8rYdOOPs0c2Mtu2WCv88oSPlF/view
K,Math - Addition,Kindergarten Math - Addition - 32 Addition within 20 Real-Life Word Problems,read text,word problems,K.OA.A.2,"Real-world addition word problems with sums up to 20 (5 problems per sheet): counting fish, food items, points, money (dollars), weight (ounces), and comparison problems (e.g. 'Nancy collected 9 more than Luna').",,https://drive.google.com/file/d/1U3Ujd1oqK2G3FMMsSBktrUd-kTqyu9n6/view,https://drive.google.com/file/d/1FHw0eOe8w_TjS-U6Hf9Jl6DaAqsU8xyr/view
K,Math - Addition,Kindergarten Math - Addition - 33 Repeated Addition Word Problems,looked at pages,word problems,K.OA.A.2,"""Picture Addition"" word problems: each of 5 problems states a fixed quantity per group (e.g. '3 books on each table', '4 hot dogs in a box') with clip-art rows of 2-7 equal groups; student counts total objects and writes the sum in a blank labeled with the item name (books, hot dogs, pastries, balls, toys). Repeated-addition/equal-groups word problem format, sums roughly up to 35.","Viewed page 1 of 3; www.mathworksheets4kids.com template, 5 problems per sheet, blank answer line under clip-art groups.",https://drive.google.com/file/d/1Eb8rt7p_XG_YpZOKKUoRqaEdwCWjz4Gg/view,https://drive.google.com/file/d/1VsbwPKdl2eHsaL8GSHrxoQwMS9BdG7o9/view
K,Math - Addition,Kindergarten Math - Addition - 34 Writing Addition Sentences Using Number Lines,read text,practice,K.OA.A.1,"Given a 0-20 number line with a hop/jump model, students write the matching addition sentence (addend + addend = sum).",,https://drive.google.com/file/d/1c6be5ghswN8SNRNcQYlXV6ZixRXz1mzm/view,https://drive.google.com/file/d/18x-uYm1NwTpPv61rghDzbtvY1TCt9VgD/view
K,Math - Addition,Kindergarten Math - Addition - 35 Vertical and Horizontal Addition Using Number Lines,read text,practice,K.OA.A.5,"Students use a 0-20 number line to solve about 12 addition problems per sheet, presented in a mix of horizontal (a-l lettered) and number-line jump formats.",,https://drive.google.com/file/d/19jjL9sCEJodywddwGJOM4SKEvJ_cqWrZ/view,https://drive.google.com/file/d/18QpH8FT9J_J46TVqOrZgxJnnD9cV00sE/view
K,Math - Addition,Kindergarten Math - Addition - 36 Comparing Sums,read text,activity/colouring,"K.OA.A.5, K.CC.C.6","Students solve two single-digit addition facts side by side, compare the two sums, then cut out an animal snout/beak shape from the bottom of the page and glue it pointing toward the greater sum.",Cut-and-glue activity; requires scissors/glue.,https://drive.google.com/file/d/1c-8MW3IFFmtd9kYzKf13dw3quywjvPxL/view,https://drive.google.com/file/d/1_Oq-E166z45taZ8RsdVSreoWwMyybTy8/view
K,Math - Addition,Kindergarten Math - Addition - 37 Coloring by Addition Mystery Pictures,read text,activity/colouring,K.OA.A.5,"Students solve many single-digit addition facts scattered across a grid, then color each region using a sum-to-color key to reveal a mystery picture.",Coloring key/mystery picture is visual; only the addition facts text was extracted.,https://drive.google.com/file/d/1SZaz4PR5mMd7zJFyncKN6_z4dpaWhZ4H/view,https://drive.google.com/file/d/1s-pgcpZRqp2SXim-nhw6L3sFa3Oij49i/view
K,Math - Addition,Kindergarten Math - Addition - 38 Column Addition Drills with 3 or 4 Addends,read answer key,practice,1.OA.A.2,"Vertical (column) addition problems with 3 single-digit addends stacked per problem, 20 problems per sheet, across 3 sheets (each with matching answer key).","Main PDF returned inline (not saved to file); described from answer key, which shows clean text of all problems and answers: consistently 3 addends (not 3-or-4 as title suggests), 20 problems/sheet, 3 sheets.",https://drive.google.com/file/d/11_VS8uPE82RqDe33iBzTmU943hBKEzMM/view,https://drive.google.com/file/d/1aGlbMOwd5dz586N7qjSM_BaVt7Vsyl96/view
K,Math - Addition,Kindergarten Math - Addition - 39 Column Addition Drills,read text,practice,K.OA.A.5,"25 vertical (column) single-digit addition problems per sheet, sums up to about 18; straight fluency drill.",,https://drive.google.com/file/d/16KmEhTsszLdDopb_AakrNq03KxdrhIQ5/view,https://drive.google.com/file/d/1SO6p2nBvjr2qNtli3efvLlrxLa2hLvbr/view
K,Math - Addition,Kindergarten Math - Addition - 40 Horizontal Addition Drills,read text,practice,K.OA.A.5,"25 horizontal single-digit addition facts per sheet (e.g., 6 + 8 =), sums up to about 18; a straight fluency drill with no models.",,https://drive.google.com/file/d/1fpV8FZA-y-tUV-Ufh8YAhYfbnSQNsUVf/view,https://drive.google.com/file/d/1RNOsGk-Te6q-OFPcy3rwXGCvPbBKyrQB/view
K,Math - Addition,Kindergarten Math - Addition - 41 Number Line Addition MCQs,read text,practice,K.OA.A.5,Students choose (multiple-choice a/b/c) which number-line diagram correctly models a given addition sentence with sums up to 10.,,https://drive.google.com/file/d/1kothOcaSJvwxRjN5uQWcdrLtpB0XlBLE/view,https://drive.google.com/file/d/15HDmxGWBeWailFaYy7dKHCcyhB8ozwqY/view
K,Math - Addition,Kindergarten Math - Addition - 42 Counting and Adding the Pictures - Sums up to 5,looked at pages,practice,"K.OA.A.1, K.CC.B.5","Two groups of clip-art pictures (e.g. pigs, ties, hats, mushrooms, beets) shown side by side with a plus sign; students count each group and write the sum in a box, sums up to 5. 5 problems per sheet.",Visually confirmed via rendered page 1 of 3.,https://drive.google.com/file/d/1SlIshckcDKa9LwftFKxatAp_JB15YacW/view,https://drive.google.com/file/d/1i-fSf8BPbRx5pnwqoFqyfOpuG34MlP04/view
K,Math - Addition,Kindergarten Math - Addition - 43 Addition on a Number Line - 0 to 5,looked at pages,practice,"K.OA.A.1, K.OA.A.5","Number line 0-5 shown with two hops/arcs already drawn illustrating an addition; students read the number line and write the sum in a box (e.g. '0 + 3 =', '3 + 2 =', '1 + 4 ='). 6 problems per sheet, all sums within 0-5.",Visually confirmed via rendered page 1 of 3.,https://drive.google.com/file/d/1vtb36hGlpB3dLgaamEUJaHDxap9vJOjN/view,https://drive.google.com/file/d/1Fxc3phMjYI2Ao5I1icPJmD81f47jWb4k/view
K,Math - Addition,Kindergarten Math - Addition - 44 Making 10 on Ten-Frames,UNVERIFIED,practice,K.OA.A.4,"PDF internal title metadata reads 'making10-ten-frames-all.pdf', matching worksheet #23 in this same folder ('Making Ten Using Ten Frames'): a ten-frame with some shapes already drawn, where students draw more shapes to complete it to 10 and write the addition equation. Could not confirm exact numbers visually: download returned inline as base64 too small to save to a file for render.py, and the answer key PDF also extracts only as garbled font-encoding artifacts.",text_ok:false - both worksheet and answer key use a custom font encoding that extracts as unreadable glyph codes; inline base64 download also prevented render.py from being used. Content inferred from PDF metadata title and similarity to sheet #23 in the same folder.,https://drive.google.com/file/d/1Lc9YDVS2TZLjhdP_lX0yfTvAK4L84bZH/view,https://drive.google.com/file/d/1iTtllV8XeuqQn09jFT5oUc4XIk1epIOd/view
K,Math - Addition,Kindergarten Math - Addition - 45 Adding Numbers Sums up to 5,UNVERIFIED,practice,,"Title 'Adding Numbers Sums up to 5' suggests basic addition facts/picture addition with sums to 5; could not confirm visually (download returned inline as base64, too small to save to file, and re-rendering was not possible from the fallback path) and the answer key PDF also extracts only as garbled font-encoding artifacts (same custom/embedded font issue as the worksheet).","text_ok:false - both worksheet and its answer key use a custom font encoding that extracts as unreadable glyph codes; download also returned inline (base64) rather than as a savable file path, so page-image rendering via render.py could not be run either. Content inferred only from title.",https://drive.google.com/file/d/1hSaJs2c9UIprjLJDXczUiH_Bb1aKH2pz/view,https://drive.google.com/file/d/1YrD-CDIWc2moUZGyD05AdTtjpXZasXef/view
